date,total,import,local
12/7/2022,4079,48,4031
12/6/2022,4409,58,4351
12/5/2022,5046,58,4988
12/4/2022,4318,71,4247
12/3/2022,4213,45,4168
12/2/2022,3988,55,3933
12/1/2022,4278,45,4233
11/30/2022,4150,70,4080
11/29/2022,4288,52,4236
11/28/2022,3624,63,3561
11/27/2022,3822,74,3748
11/26/2022,3709,61,3648
11/25/2022,3474,69,3405
11/24/2022,3103,62,3041
11/23/2022,4010,83,3927
11/22/2022,2719,78,2641
11/21/2022,2225,80,2145
11/20/2022,2365,88,2277
11/19/2022,2267,63,2204
11/18/2022,2137,82,2055
11/17/2022,2362,86,2276
11/16/2022,2388,60,2328
11/15/2022,1623,55,1568
11/14/2022,1661,40,1621
11/13/2022,1794,47,1747
11/12/2022,1711,36,1675
11/11/2022,1504,52,1452
11/10/2022,1209,59,1150
11/9/2022,1185,52,1133
11/8/2022,1346,52,1294
11/7/2022,890,47,843
11/6/2022,569,34,535
11/5/2022,588,62,526
11/4/2022,657,61,596
11/3/2022,757,53,704
11/2/2022,581,50,531
11/1/2022,465,56,409
10/31/2022,547,49,498
10/30/2022,521,42,479
10/29/2022,401,48,353
10/28/2022,377,53,324
10/27/2022,262,48,214
10/26/2022,231,38,193
10/25/2022,338,41,297
10/24/2022,246,41,205
10/23/2022,221,48,173
10/22/2022,207,52,155
10/21/2022,215,56,159
10/20/2022,214,56,158
10/19/2022,211,47,164
10/18/2022,247,43,204
10/17/2022,250,42,208
10/16/2022,245,63,182
10/15/2022,244,70,174
10/14/2022,361,70,291
10/13/2022,313,64,249
10/12/2022,372,50,322
10/11/2022,417,43,374
10/10/2022,491,64,427
10/9/2022,434,61,373
10/8/2022,503,62,441
10/7/2022,501,54,447
10/6/2022,288,72,216
10/5/2022,229,46,183
10/4/2022,273,50,223
10/3/2022,307,57,250
10/2/2022,240,51,189
10/1/2022,179,63,116
9/30/2022,172,66,106
9/29/2022,156,59,97
9/28/2022,170,64,106
9/27/2022,194,75,119
9/26/2022,245,72,173
9/25/2022,295,60,235
9/24/2022,217,58,159
9/23/2022,188,59,129
9/22/2022,175,54,121
9/21/2022,165,51,114
9/20/2022,166,43,123
9/19/2022,152,48,104
9/18/2022,147,55,92
9/17/2022,154,48,106
9/16/2022,140,64,76
9/15/2022,161,59,102
9/14/2022,167,41,126
9/13/2022,237,41,196
9/12/2022,242,54,188
9/11/2022,226,62,164
9/10/2022,234,55,179
9/9/2022,290,51,239
9/8/2022,301,42,259
9/7/2022,280,39,241
9/6/2022,380,57,323
9/5/2022,310,46,264
9/4/2022,349,46,303
9/3/2022,384,70,314
9/2/2022,502,62,440
9/1/2022,373,55,318
8/31/2022,368,61,307
8/30/2022,392,43,349
8/29/2022,382,33,349
8/28/2022,352,51,301
8/27/2022,307,48,259
8/26/2022,300,50,250
8/25/2022,312,50,262
8/24/2022,390,45,345
8/23/2022,413,33,380
8/22/2022,382,74,308
8/21/2022,427,67,360
8/20/2022,602,49,553
8/19/2022,639,61,578
8/18/2022,603,44,559
8/17/2022,682,68,614
8/16/2022,637,71,566
8/15/2022,591,61,530
8/14/2022,770,78,692
8/13/2022,684,61,623
8/12/2022,704,58,646
8/11/2022,704,56,648
8/10/2022,700,86,614
8/9/2022,444,64,380
8/8/2022,399,49,350
8/7/2022,380,56,324
8/6/2022,390,53,337
8/5/2022,361,51,310
8/4/2022,222,60,162
8/3/2022,111,58,53
8/2/2022,101,63,38
8/1/2022,107,61,46
7/31/2022,84,51,33
7/30/2022,116,42,74
7/29/2022,100,51,49
7/28/2022,109,49,60
7/27/2022,119,33,86
7/26/2022,120,41,79
7/25/2022,148,50,98
7/24/2022,150,49,101
7/23/2022,129,42,87
7/22/2022,164,36,128
7/21/2022,175,69,106
7/20/2022,200,52,148
7/19/2022,150,42,108
7/18/2022,237,38,199
7/17/2022,167,50,117
7/16/2022,154,48,106
7/15/2022,129,54,75
7/14/2022,113,49,64
7/13/2022,121,35,86
7/12/2022,98,41,57
7/11/2022,107,38,69
7/10/2022,94,48,46
7/9/2022,101,36,65
7/8/2022,112,45,67
7/7/2022,97,50,47
7/6/2022,124,30,94
7/5/2022,141,29,112
7/4/2022,112,43,69
7/3/2022,72,31,41
7/2/2022,104,29,75
7/1/2022,72,34,38
6/30/2022,37,25,12
6/29/2022,33,25,8
6/28/2022,24,21,3
6/27/2022,16,15,1
6/26/2022,39,34,5
6/25/2022,39,37,2
6/24/2022,53,46,7
6/23/2022,37,19,18
6/22/2022,48,35,13
6/21/2022,31,21,10
6/20/2022,37,28,9
6/19/2022,38,24,14
6/18/2022,36,31,5
6/17/2022,35,24,11
6/16/2022,54,31,23
6/15/2022,64,22,42
6/14/2022,77,23,54
6/13/2022,95,35,60
6/12/2022,89,20,69
6/11/2022,134,12,122
6/10/2022,79,14,65
6/9/2022,45,15,30
6/8/2022,70,17,53
