month,location,new_cases
1,China,4901
1,Hong Kong,1548
1,India,6607920
1,Japan,1010419
1,Singapore,73406
1,South Korea,228789
1,Taiwan,1761
2,China,4675
2,Hong Kong,261547
2,India,1461546
2,Japan,2269182
2,Singapore,371613
2,South Korea,2409407
2,Taiwan,1699
2,United States,3938942
3,China,103254
3,Hong Kong,881671
3,India,94730
3,Japan,1552111
3,Singapore,372004
3,South Korea,10102369
3,Taiwan,2905
3,United States,1041109
4,China,583334
4,Hong Kong,46795
4,India,53413
4,Japan,1318130
4,Singapore,96822
4,South Korea,3899831
4,Taiwan,92489
4,United States,1244830
5,China,72570
5,Hong Kong,8489
5,India,81644
5,Japan,970306
5,Singapore,110044
5,South Korea,843766
5,Taiwan,1917100
5,United States,2861276
6,China,4755
6,Hong Kong,33098
6,India,308402
6,Japan,478847
6,Singapore,140774
6,South Korea,249442
6,Taiwan,1734300
6,United States,3347898
7,China,17335
7,Hong Kong,108197
7,India,567041
7,Japan,3463080
7,Singapore,269988
7,South Korea,1451882
7,Taiwan,820902
7,United States,3669313
8,China,50500
8,Hong Kong,186809
8,India,400064
8,Japan,6171466
8,Singapore,125188
8,South Korea,3507158
8,Taiwan,719844
8,United States,3184251
9,China,34753
9,Hong Kong,224601
9,India,154773
9,Japan,2327073
9,Singapore,68663
9,South Korea,1468117
9,Taiwan,1153371
9,United States,1833458
10,China,41545
10,Hong Kong,153304
10,India,63685
10,Japan,1030671
10,Singapore,194465
10,South Korea,819653
10,Taiwan,1251326
10,United States,1126007
11,China,567411
11,Hong Kong,199537
11,India,21004
11,Japan,2490716
11,Singapore,65525
11,South Korea,1540146
11,Taiwan,600640
11,United States,1300925
12,China,35392
12,Hong Kong,10137
12,India,275
12,Japan,118201
12,Singapore,1304
12,South Korea,52987
12,Taiwan,15642
12,United States,116258
